YEAR,MONTH,DAY,DATE,SITE,TRANSECT,DISTANCE,SIDE,SP_CODE_1,SP_CODE_2,SP_CODE_3,SUBSTRTE,OBSERVER,NOTES,ENTERED BY,CHECKED BY,DEPTH @ 0 M,DEPTH @ 40 M,VISIBILITY,TEMP,SP_CODE_0,SP_CODE_4,SP_CODE_5
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,1,I,PAPA,SL,,C,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,1,O,PAPA,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,2,I,HIRU,CHCR,SL,C,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,2,O,CHCR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,3,I,,,,P,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,3,O,UAE,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,4,I,CHCR,,,BM,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,4,O,PAPA,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,5,I,CHPA,,,BS,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,5,O,CHCR,,,BM,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,6,I,SL,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,6,O,,,,C,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,7,I,SL,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,7,O,SL,PAPA,BOVI,C,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,8,I,PAPA,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,8,O,ECTO,PORS,COTR,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,9,I,ECTO,PORS,,C,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,9,O,,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,10,I,COTR,,,BM,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,10,O,,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,11,I,COTR,,,BM,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,11,O,PAPA,,,C,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,12,I,,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,12,O,SL,,,C,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,13,I,COTR,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,13,O,PORS,,,C,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,14,I,,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,14,O,ECTO,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,15,I,CYPU,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,15,O,ECTO,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,16,I,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,16,O,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,17,I,,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,17,O,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,18,I,PAPA,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,18,O,COTR,ASPO,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,19,I,PAPA,,,C,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,19,O,BOVI,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,20,I,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,20,O,,,,C,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,21,I,BUNE,ASPO,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,21,O,,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,22,I,COTR,CYPU,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,22,O,,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,23,I,COTR,CYPU,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,23,O,,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,24,I,,,,S,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
